Player None 2025-01-21 21:26:54.034737 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.043262 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.060322 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.065319 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.092909 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.103435 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.113965 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.132018 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.134022 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.164609 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.172136 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.183671 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.202740 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.204737 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.235336 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.242859 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.254391 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.272450 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.276030 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.305112 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.314635 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.324172 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.341232 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.348329 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.373403 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.382947 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.392474 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.412534 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.417059 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.450278 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.462809 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.470344 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.494532 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.506066 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.530639 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.538164 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.551388 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.570445 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.572444 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.606547 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.618092 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.630651 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.652268 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.657791 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.692507 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.705039 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.710575 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.734644 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.743170 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.767299 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.776815 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.784840 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.806482 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.812503 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.836058 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.844077 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.855160 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.873318 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.878841 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.904901 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.913428 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.922951 CLICKED, PLAYABLE=2 
Player None 2025-01-21 21:26:54.941109 CLICKED, PLAYABLE=3 
Player None 2025-01-21 21:26:54.949173 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.970223 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.976729 CLICKED, PLAYABLE=1 
Player None 2025-01-21 21:26:54.987266 CLICKED, PLAYABLE=2 
